index,word,m1_trigram,m2_trigram
34,prince,8.24e-06,8.24e-06
34,throne,7.95e-05,7.95e-05
34,william,0.0233602,0.0233602
35,hertz,1.79e-07,4.58e-05
35,computer,0.000381153,0.000381153
35,slow,0.00130052,0.00130052
36,hertz,1.24e-06,1.45e-07
36,computer,9.8e-05,9.8e-05
36,mega,1.92e-07,1.92e-07
36,processing,3.14e-05,3.14e-05
36,speed,0.00134511,0.00134511
36,thirty-three,7.07e-06,7.07e-06
37,hi,0.000217425,9.81e-05
37,say,0.0206152,0.0206152
37,waved,0.000942131,0.000942131
38,high,0.077769,2.73e-07
38,feet,0.00381188,0.00381188
38,statue,3.37e-06,3.37e-06
38,ten,0.000198604,0.000198604
39,him,0.00550817,1.53e-07
39,back,0.00192974,9.41e-06
39,john,6.39e-07,6.39e-07
39,like,0.102263,0.102263
39,likes,0.000505123,0.000505123
39,sarah,0.000132245,0.000132245
40,hurts,0.00956424,8.98e-07
40,fell,0.000435037,0.000435037
40,leg,0.000102394,0.000102394
41,i,7.82e-05,1.48e-06
41,answer,0.0342182,0.0342182
41,know,0.114126,0.0013846
42,idle,4.51e-05,4.31e-08
42,doing,0.0137679,0.0137679
42,just,0.0213806,0.0213806
42,sitting,0.00904944,0.00904944
43,idol,3.51e-05,2.33e-05
43,famous,0.000252842,0.000252842
43,movie,0.000363991,0.000363991
43,star,0.0141455,0.0141455
44,knot,7.38e-06,0.00542818
44,boyscouts,0.00148881,0.00148881
44,know,2.41e-08,2.41e-08
44,ropes,7.4e-08,7.4e-08
44,tie,5.69e-05,5.69e-05
45,knot,2.58e-07,7.5e-09
45,double,0.000100552,0.000100552
45,easy,0.00105094,0.00105094
45,tie,4.35e-05,4.35e-05
46,knotty,1.18e-06,0.000482647
46,made,0.000482647,4.84e-06
46,cabin,6.86e-07,6.86e-07
46,pine,6.73e-07,2.43e-06
47,made,0.00138191,3.96e-08
47,cake,4.1e-05,7.71e-05
48,maid,6.83e-06,0.000263499
48,clean,0.000244611,0.000288026
48,hired,3.26e-05,3.26e-05
49,marks,0.00168122,2.71e-08
49,got,0.00462163,0.00462163
49,high,0.00015772,0.00015772
49,high,4.35e-05,4.32e-05
49,school,0.0304142,0.0304142
50,meet,0.00506784,1.37e-06
50,able,0.0285093,0.0285093
50,finally,0.000745084,0.000745084
50,pals,0.00539144,0.00539144
50,pen,2.44e-06,2.44e-06
51,morning,0.00231047,2.69e-06
51,shining,0.145777,0.145777
51,sun,0.00112938,0.00112938
51,up,0.661033,0.661033
51,woke,0.000403333,0.000403333
52,mourning,0.000153144,2e-07
52,died,6.66e-05,6.66e-05
52,loved,8.5e-05,8.5e-05
53,naughty,6.86e-05,1.92e-06
53,boy,0.000619061,0.000619061
53,child,0.0605674,9.2e-07
54,need,0.000673441,5.08e-07
54,company,0.000543013,0.000543013
54,computer,0.000187625,0.00120624
54,programmers,0.0100407,0.0100407
55,none,6.21e-07,4.53e-08
55,made,0.00144137,0.00144137
55,sense,0.0447681,0.0447681
56,not,0.0884001,3.25e-07
56,let's,4.93e-08,4.93e-08
57,nun,9.6e-08,5.02e-07
57,cared,3.15e-08,3.15e-08
57,church,0.000317736,0.000317736
57,new,0.000416308,0.000416308
57,opened,0.000104982,0.000104982
58,nun,2.61e-05,4.81e-06
58,kind,9.22e-05,9.22e-05
58,pious,6.72e-06,6.72e-06
58,very,0.00422028,0.00315005
59,oar,1.82e-06,1.89e-05
59,dipped,1.63e-08,1.63e-08
59,fisherman,3.42e-06,3.42e-06
59,river,0.000541249,0.000541249
60,or,0.0146219,1.08e-08
60,car,9.14e-05,9.14e-05
60,care,0.0459046,0.0459046
60,problems,0.000786522,0.000786522
60,take,1.06e-05,1.06e-05
61,pail,1.17e-07,1.62e-07
61,buckets,7.51e-05,7.51e-05
61,carry,0.000520998,0.000520998
61,feeling,0.00134202,0.00134202
61,start,1.55e-08,1.55e-08
61,those,6.46e-06,6.46e-06
62,pair,0.00138985,6.91e-06
62,matching,0.00105566,4.48e-05
62,socks,1.22e-07,1.22e-07
63,pear,4.71e-06,6.45e-05
63,apples,6.8e-05,6.8e-05
63,ate,0.000416991,0.000416991
64,pear,5.82e-06,7.98e-05
64,brave,2.42e-05,2.42e-05
64,enough,0.151631,0.151631
64,farmer,0.000278025,0.000278025
64,fruit,9.62e-06,9.62e-06
64,grow,0.000373032,0.000373032
65,pi,1.37e-07,4.92e-09
65,decimal,4.64e-05,4.64e-05
65,number,0.00013164,0.00013164
65,places,0.0721633,0.0721633
65,recite,2.47e-05,2.47e-05
65,ten,0.00856012,0.00856012
65,up,6.25e-06,1.97e-05
66,pie,0.0473564,3.9e-07
66,apple,5.25e-05,5.25e-05
66,dessert,3.73e-05,4.08e-05
66,like,0.315299,0.315299
67,plain,1.33e-07,9.81e-08
67,beautiful,1.5e-05,1.5e-05
67,felt,0.016997,0.016997
67,sister,0.00014231,0.00014231
68,plane,0.000213726,2.6e-05
68,airport,0.00104167,0.00104167
68,landed,0.00362111,1.38e-07
69,poor,0.00294914,1.42e-08
69,afford,0.0120473,0.0120473
69,buy,0.0664535,0.0664535
69,cannot,0.000658249,0.000793283
69,family,0.000234604,0.000234604
69,food,0.00714683,0.00714683
70,pray,0.000186782,2.84e-05
70,bed,0.000213585,0.00022975
70,christians,3.45e-05,3.45e-05
70,customary,0.000427894,0.000427894
71,profit,3.69e-07,5.77e-07
71,business,0.000106894,0.000106894
71,dollars,0.0215548,0.0215548
71,made,0.000398934,0.000398934
71,million,0.000332814,0.000332814
71,year,0.296154,0.0252705
72,pros,0.000125273,1.62e-05
72,cons,0.276318,2.89e-05
72,networking,3.71e-07,3.71e-07
72,sites,8.95e-07,8.95e-07
72,social,0.00135368,0.00135368
73,prose,0.000714835,1.25e-06
73,essays,7.58e-07,7.58e-07
73,novels,4.53e-08,4.53e-08
73,written,0.000636569,0.000636569
74,raiser,0.00529044,2.86e-08
74,church,0.0133055,0.0133055
74,fund,6.37e-06,6.37e-06
74,girl,0.000711454,0.000711454
74,local,0.00124668,0.00124668
74,organized,7.59e-08,7.59e-08
75,razor,3.78e-05,1.65e-07
75,beard,3.81e-05,3.81e-05
75,shave,6.37e-05,2.85e-05
75,used,0.00321429,0.00321429
76,real,0.000485336,4.27e-08
76,counterfeit,2.54e-08,2.54e-08
76,diamond,9.26e-07,9.26e-07
76,good,0.0632112,0.0632112
76,just,0.00404624,0.00404624
76,not,0.00148348,0.00148348
76,very,0.00861703,0.00861703
77,reel,2.92e-07,4.93e-05
77,fish,9.11e-06,9.11e-06
77,need,0.00813574,0.00813574
78,reign,0.00225632,5.95e-07
78,ended,0.00784143,0.000506075
78,heir,0.000444358,0.000444358
78,king's,0.000143042,0.000143042
78,took,0.00125967,0.00125967
79,root,0.0195106,1.08e-06
79,tree's,7.43e-07,7.43e-07
79,tripped,4.76e-05,4.76e-05
80,route,0.00101256,0.000158618
80,faster,2.62e-05,2.62e-05
80,home,0.00962775,0.00962775
80,take,1.06e-05,1.06e-05
80,way,0.11885,0.11885
81,scent,9.42e-06,2.61e-09
81,unpleasant,1.75e-05,1.55e-05
82,seas,0.01616,9.4e-09
82,high,0.000607947,0.000607947
82,mid-atlantic,1.88e-06,1.88e-06
82,ship,0.000165708,0.000165708
83,seedy,4.12e-06,3.6e-05
83,bar,0.00217124,1.04e-06
83,drunken,3.38e-05,3.38e-05
83,full,0.0222361,0.0222361
83,people,1.44e-08,1.44e-08
83,unwashed,3e-05,3e-05
84,sell,0.00126753,6.84e-07
84,car,0.000361501,0.000474155
84,good,0.00330995,0.00330995
84,price,0.00224299,0.00224299
85,sign,0.000116055,2.23e-06
85,boutique,5.17e-08,5.17e-08
85,clothes,0.000123245,0.000123245
85,says,3.69e-07,3.69e-07
85,store,0.000156839,0.000156839
86,son,1.59e-05,0.000668427
86,boy,6.93e-05,6.93e-05
86,got,0.0134105,0.0134105
86,only,0.000420018,0.000420018
86,rest,1.27e-08,1.27e-08
87,son,0.00107569,5.55e-05
87,daughter,0.00185761,0.00185761
88,steal,2.4e-08,0.000205567
88,muscles,2.98e-05,2.98e-05
88,thieves,2.93e-06,2.93e-06
89,steal,9.48e-05,5.42e-05
89,boy,0.0722005,0.0722005
89,candy,2.11e-07,2.11e-07
89,decided,0.000473329,0.000473329
89,friend's,3.95e-05,4.15e-05
89,not,0.12636,0.12636
89,wanted,5.54e-05,5.54e-05
90,steel,0.00845099,2.82e-05
90,made,0.000421003,0.000421003
90,ship,1.23e-05,1.23e-05
90,wood,0.0246497,0.0246497
91,sun,0.000826226,0.000167641
91,evening,0.000725587,0.000725587
91,morning,0.00199607,0.00199607
91,rises,0.00160977,3.23e-05
91,sets,5.28e-05,5.28e-05
92,taught,0.000254205,3.86e-08
92,college,8.22e-05,8.22e-05
92,mathematics,0.000423745,2.68e-07
92,students,0.00247445,0.00247445
93,taut,5.64e-08,5.64e-08
93,between,0.0134652,0.000312459
93,clothesline,1.06e-07,1.06e-07
93,hangs,9.6e-08,9.6e-08
93,poles,0.000318191,0.000318191
94,tears,1.29e-06,1.95e-09
94,cheeks,0.0940414,0.0940414
94,movie,1.69e-07,1.69e-07
94,ran,0.0283765,3.28e-07
94,sad,6.51e-06,6.51e-06
94,watched,0.0268613,0.0268613
95,tiers,7.71e-06,0.000247438
95,boxes,7.34e-08,7.34e-08
95,stacked,8.81e-05,8.81e-05
95,warehouse,3.93e-06,3.93e-06
96,time,0.00223583,9.86e-08
96,lunch,0.000965614,0.000965614
96,meeting,0.00800705,0.00800705
97,waist,0.000148609,2.25e-05
97,belt,0.00199551,0.00199551
97,look,0.0019255,2.63e-06
97,small,0.107636,0.107636
97,tiny,5.17e-05,5.17e-05
98,waste,0.00102537,1.09e-05
98,dealing,2.61e-06,2.61e-06
98,time,0.44439,0.000889625
99,watt,0.00010854,1.12e-05
99,bulb,0.00794444,0.00799331
99,desk,8.11e-05,8.11e-05
99,lamp,0.00334936,0.00334936
99,light,0.00782064,0.000289713
99,sixty,0.000375334,0.000375334
99,uses,5.17e-07,5.17e-07
100,what,9.32e-05,3.68e-08
100,students,4.42e-06,4.42e-06
100,teacher,0.000143398,0.000143398
100,told,0.00107881,0.00107881
101,wood,6.76e-05,0.000268706
101,get,0.0117993,0.0117993
101,trees,8.37e-05,0.000124493
102,would,0.0209399,5.8e-07
102,father,0.0294843,0.0294843
102,go,0.189419,0.189419
102,let,0.0106586,0.000411027
102,not,0.102292,0.000845183
102,party,0.000163243,0.000163243
103,aching,2.28e-06,0.00288397
103,back,0.00283767,0.00283767
103,sitting,1.18e-05,1.18e-05
104,alp,1.12e-08,1.2e-05
104,very,0.0283703,0.0283703
104,high,0.023673,0.023673
104,mountain,0.000379432,0.000379432
105,ambiance,3.32e-08,4.06e-05
105,hotel,0.000466333,0.000466333
105,warmth,6.72e-06,6.72e-06
105,charm,0.0154456,0.0154456
106,ambulance,0.000509391,5.17e-08
106,came,0.00373851,0.000397954
106,car,0.00156205,0.00156205
106,accident,0.00138351,0.00138351
106,minutes,0.0120192,0.0120192
107,ante,3.26e-06,1.91e-07
107,made,0.00202794,0.00202794
107,offer,0.036003,0.036003
107,buy,0.0414924,0.0414924
107,house,0.0427759,0.0427759
107,owner,0.000426323,0.000426323
107,upped,1.44e-07,1.44e-07
108,attitude,9.25e-05,4.8e-07
108,good,0.0164287,0.0164287
108,work,0.000163055,0.000187092
109,auntie,3.74e-05,3.2e-07
109,betty,0.0246333,0.0315729
109,mother's,0.00304331,0.00304331
109,sister,0.0220583,0.0220583
110,author,0.000133467,4.62e-05
110,cervantes,0.00148881,0.00148881
110,famous,0.0131278,0.0131278
110,spanish,2.01e-07,2.01e-07
110,language,7.44e-05,7.44e-05
111,bail,1.36e-05,2.15e-06
111,posted,1.71e-05,1.71e-05
111,5000,0.0138602,0.0138602
111,brother's,0.000781014,0.000781014
111,release,0.000357976,0.000357976
111,jail,2.87e-05,2.87e-05
112,bean,0.000193207,1.3e-08
112,like,0.00051742,0.00051742
112,eat,0.00430181,0.00430181
112,lima,3.87e-09,3.87e-09
112,black,0.000237869,0.000341322
113,been,0.26151,4.16e-07
113,long,0.0159627,0.00176062
113,time,0.286168,0.286168
113,saw,0.00636225,0.00636225
114,bloom,7.62e-06,8e-05
114,apple,1e-05,1e-05
114,tree,0.0411237,0.0411237
114,week,0.0694587,0.0694587
115,braille,0.000230291,2.27e-06
115,reads,8.24e-05,8.24e-05
115,fingertips,0.000802216,0.000802216
116,bridge,0.00267278,3.68e-05
116,trains,1.37e-06,1.37e-06
116,go,0.0017104,0.0017104
116,river,0.00245455,0.00245455
117,closing,4.87e-06,4.58e-05
117,chairman,7.36e-05,7.36e-05
117,made,7.35e-05,7.35e-05
117,remarks,0.00298987,1.06e-05
117,end,0.0648069,0.0648069
117,meeting,0.000650636,0.000650636
118,clothing,0.0209029,2.31e-05
118,food,7.98e-06,7.98e-06
118,basic,0.000164321,0.000164321
118,necessities,0.00178136,0.00178136
119,crank,1.49e-05,0.00011407
119,morning,0.00713854,0.00713854
120,cream,8.21e-06,4.19e-08
120,butter,2.93e-06,2.93e-06
120,made,0.00291359,0.00291359
121,crime,0.00191093,6.74e-07
121,police,0.00147035,0.00147035
121,fight,7.52e-06,7.52e-06
121,murder,1.27e-05,2.26e-05
121,theft,1.26e-05,1.26e-05
121,drug,4.18e-05,4.18e-05
121,dealing,0.0199339,0.0199339
122,digestion,3.28e-05,5.66e-06
122,good,0.000960829,0.000960829
122,eat,0.00238258,0.00238258
123,dublin,4.26e-08,3.2e-07
123,capital,0.000699113,0.000699113
123,ireland,7.03e-09,7.03e-09
124,eire,0.00148881,6.19e-06
124,former,0.00154621,0.00154621
124,name,9.01e-05,9.01e-05
124,republic,6.26e-05,6.26e-05
124,ireland,8.14e-09,8.14e-09
125,eire,0.00255539,0.000250077
125,people,4.75e-05,4.75e-05
125,happy,0.00147488,0.00147488
125,time,0.0247114,0.0247114
125,vacationing,2.33e-08,2.33e-08
125,ireland,1.05e-08,1.05e-08
125,walking,0.00020439,0.00020439
126,express,0.000224051,2.02e-08
126,learn,0.00102005,0.00102005
126,feelings,0.18119,0.00138304
126,better,6.45e-06,6.45e-06
127,fire,0.0028206,0.00205684
127,sat,0.00241241,0.00241241
127,keep,0.00139087,0.0032208
127,warm,0.00704284,0.00704284
128,future,0.00507868,9.09e-08
128,knows,0.0142111,0.0142111
128,happen,0.315849,0.315849
129,glittering,2.42e-06,2.62e-07
129,jewels,5.32e-05,5.32e-05
129,sun,0.00117919,0.00117919
130,grammatic,8.07e-08,2.64e-06
130,sentence,5.17e-05,5.17e-05
130,unusual,0.00717743,0.00717743
130,structure,0.000124701,6.84e-05
131,grime,1.73e-07,0.000589605
131,children,0.00102898,0.00102898
131,eat,0.00265646,0.00265646
131,washing,0.000134518,0.000134518
131,hands,0.282159,0.282159
132,guarding,4.96e-06,2.93e-06
132,dog,0.00108091,0.00108091
132,just,0.00227036,0.00227036
132,house,0.00109182,0.00122108
132,mean,0.00646037,0.00646037
132,scare,0.000987874,0.000987874
133,help,0.000898739,2.92e-08
133,gave,2.31e-05,2.31e-05
133,friend,0.00230929,0.00230929
133,homework,0.000101174,0.000101174
134,hosta,1.14e-07,1.56e-05
134,beautiful,0.00173095,0.00173095
134,plant,0.000125778,0.000125778
135,hostile,4.16e-05,1.86e-08
135,driver,1.38e-05,1.38e-05
135,attitude,0.01001,6e-05
136,house,0.00200324,1.04e-06
136,located,0.000306472,0.000609575
136,corner,0.00150072,0.00150072
137,how's,1.32e-07,0.000183176
137,asked,0.000607259,0.000607259
137,going,0.425455,0.00246297
138,insider,3.33e-07,4.75e-08
138,trading,0.118578,3.38e-05
138,get,0.00366049,0.00366049
138,lot,0.00170787,0.00170787
138,trouble,0.00888362,0.00888362
139,kant,0.00148881,2.87e-05
139,german,3.11e-07,3.11e-07
139,philosopher,8.12e-06,8.12e-06
140,kant,0.00788452,0.00115221
140,need,0.000108456,0.000108456
140,philosophy,9.38e-05,9.38e-05
140,homework,1.64e-06,1.64e-06
140,just,0.00139074,0.00139074
141,lag,2.33e-06,3.96e-05
141,communications,4.07e-05,2.26e-05
141,not,0.395752,0.395752
141,hear,0.00320108,0.00320108
141,news,0.0145632,0.0145632
141,until,0.000135472,0.000135472
141,days,0.000309287,0.000309287
141,later,0.00509719,0.00509719
142,late,0.000441972,0.000722977
142,meeting,0.00140843,0.00140843
143,launch,6.47e-07,1.78e-06
143,astronauts,1.02e-07,1.02e-07
143,like,0.000472291,0.000472291
144,lunch,0.215645,4e-05
144,sandwich,0.000312008,0.000312008
145,math,2.48e-08,0.000395522
145,exam,9.97e-06,1.35e-06
145,school,0.021741,0.021741
146,necks,0.0432973,0.0432973
146,wore,0.000708412,0.000708412
146,scarf,0.00125986,0.00125986
147,next,0.00325542,8.03e-06
147,time,0.0164176,3.83e-05
147,late,0.000271461,0.000271461
147,you'll,0.000160295,0.000160295
147,trouble,0.00846978,0.00846978
148,ohms,6.76e-08,0.00148881
148,used,0.00469769,0.00469769
148,measure,0.00220874,0.00220874
148,electrical,3.85e-05,3.85e-05
148,resistance,0.00511284,0.00511284
149,orifice,2.93e-06,0.000293729
149,mouth,4.91e-05,4.91e-05
150,paste,1.74e-06,0.000282635
150,use,0.00377208,0.00377208
150,glue,9.95e-07,9.95e-07
150,class,0.000285514,0.000285514
150,careful,0.00196188,0.00196188
151,paste,2.13e-07,7.44e-07
151,used,0.0144922,0.0144922
151,put,0.00236119,0.00146579
151,pictures,9.31e-05,9.31e-05
151,notebook,0.000303771,0.000303771
152,pays,0.000317417,1.24e-06
152,company,6.81e-05,6.81e-05
152,employees,0.000427794,0.000525785
152,weeks,0.126323,0.126323
153,perches,2.92e-07,7.81e-06
153,pigeons,3.22e-07,3.22e-07
153,use,0.00526743,0.00526743
153,sunny,8.37e-06,8.37e-06
153,sides,1.55e-05,1.55e-05
153,roofs,1.77e-06,1.77e-06
154,pock,2.91e-08,7.64e-07
154,smallpox,1.48e-07,1.48e-07
154,left,0.000162784,0.000162784
154,marks,0.412343,2.47e-05
155,prison,0.0335217,5.19e-08
155,sent,0.00248967,0.00248967
155,robbing,1.3e-05,2.39e-05
155,bank,0.0874907,0.0874907
156,propane,3.57e-07,7.22e-07
156,burns,1.22e-06,1.22e-06
156,gas,0.101408,4.99e-05
156,stove,2.67e-06,2.67e-06
157,ream,4.1e-07,1.09e-06
157,office,0.000549873,0.000549873
157,uses,8.89e-05,8.89e-05
157,20,0.000297754,0.000297754
157,reams,4.1e-07,1.09e-06
157,paper,0.0972359,0.000284903
157,week,0.130363,0.130363
158,reword,1.16e-08,0.00187449
158,pun,1.19e-05,1.19e-05
159,salivation,3.81e-07,5.39e-06
159,dog's,3.49e-05,3.49e-05
159,carpet,0.000813689,0.000813689
160,screaming,0.000667858,1.43e-05
160,started,0.0021562,0.0021562
160,man,0.00305695,0.00305695
160,pulled,0.000277072,0.000277072
160,out,0.105431,0.105431
160,knife,0.00156581,0.00156581
161,screening,5.38e-06,4.9e-06
161,went,0.00522353,0.00522353
161,movie,4.71e-05,4.71e-05
161,together,9.54e-05,0.000102964
162,source,0.000188512,2.98e-05
162,difficulties,0.000276497,0.000276497
162,not,0.133986,0.133986
162,having,0.000507668,0.000507668
162,enough,0.0159876,0.0159876
162,money,0.104827,0.104827
163,special,0.00274502,1.93e-05
163,birthday,5.5e-05,5.5e-05
163,party,0.165381,0.165381
163,occasion,0.0114213,7.49e-06
164,steeler,1.21e-09,6.48e-09
164,covered,0.000572633,0.000572633
164,steel,3.73e-05,3.73e-05
165,talking,0.000778921,0.00465125
165,friend,0.0057659,0.0057659
165,whole,0.00135329,0.00135329
165,time,0.0126018,0.0126018
166,tamper,1.44e-07,1.93e-05
166,barista,0.00321826,0.00321826
166,used,0.000420778,0.000420778
166,press,0.000504948,0.000440619
166,coffee,0.000155353,0.000155353
167,tell,0.000227951,1.11e-07
167,story,0.319102,0.000422007
167,child,0.00108722,0.00108722
167,night,0.00446808,0.00446808
168,till,2.25e-05,0.000358079
168,farmers,1.8e-06,1.8e-06
168,soil,0.00757821,6.76e-05
168,springtime,1.23e-05,1.23e-05
169,till,1.36e-05,0.00121839
169,organic,1.77e-05,1.77e-05
169,farms,0.00472282,0.00472282
169,like,0.00150706,0.0526563
170,traumatic,0.000446438,0.000803872
170,car,0.00229976,0.00229976
170,accident,0.00138351,0.00138351
170,very,0.0200151,0.0200151
170,experience,0.20891,0.00233242
171,traumatic,4.01e-06,1.11e-08
171,incident,0.00296088,3.03e-05
171,left,0.000252923,0.000252923
171,scarred,1.41e-05,1.41e-05
172,truth,0.133294,1.74e-05
172,speaks,0.000152038,0.000152038
173,twist,1.73e-06,0.00357293
173,pieces,0.00145018,0.00145018
173,thread,8.47e-06,8.47e-06
173,needle,2.45e-05,2.45e-05
174,wicked,4.37e-05,1.66e-05
174,man,0.0356631,8.05e-05
174,took,0.000769646,0.00161563
174,child,0.00139251,0.00139251
174,parents,0.00408232,0.00408232
175,wicker,2.78e-06,3.66e-06
175,chair,2.6e-05,2.6e-05
175,made,0.00286759,0.00286759
176,yams,2.74e-07,3.25e-06
176,people,0.0458858,0.0458858
176,eat,0.000898007,0.000898007
176,turkey,1.13e-06,1.13e-06
177,feet,3.7e-07,0.000851363
177,able,0.0428925,0.0428925
177,being,3.17e-06,3.17e-06
177,fit,0.000627158,0.000627158
177,fourteen,4.5e-07,4.5e-07
177,quite,0.000127876,0.000127876
177,shoes,7.89e-07,7.89e-07
177,size,7.45e-07,7.45e-07
178,knotty,4.33e-08,5.07e-05
178,admonished,5.35e-06,5.35e-06
178,apparently,4.77e-09,4.77e-09
178,father,0.0278831,0.0278831
178,pine,6.88e-05,6.88e-05
178,sapling,3.9e-07,3.9e-07
178,young,0.000544319,0.000544319
179,bee,9.48e-05,1.18e-08
179,angry,0.00289068,0.00289068
179,honey,1.05e-07,1.05e-07
179,steal,0.00244374,0.00244374
179,stung,1.54e-05,1.54e-05
179,tried,0.00337061,0.00337061
180,no's,9.6e-08,9.6e-08
180,answered,0.000190288,0.000190288
180,string,0.000523178,0.000523178
181,wood,7.66e-05,5.7e-05
181,ask,0.00872753,0.00872753
181,ask,0.00079875,0.000574005
181,trees,1.46e-05,1.46e-05
182,prose,3.08e-05,4.43e-07
182,authors,9.09e-06,9.09e-06
182,cons,2.89e-05,0.276318
182,jail,0.000671505,0.000671505
183,pore,4.49e-06,0.00121916
183,bad,0.000209559,0.000209559
183,excuse,9.6e-08,0.00149134
183,say,0.00502904,0.00502904
183,say,0.0518257,0.0518257
183,skin,0.000346181,0.000346181
184,daze,0.000528994,1.12e-05
184,bad,0.000179785,0.000179785
184,learning,0.000149284,4.59e-05
184,news,0.609087,0.609087
185,knead,4.36e-07,0.000150958
